rank,compound_name,chembl_id,display_target,primary_target,mechanism_category,mechanistic_rationale,supporting_evidence,confidence_tier,composite_score,pchembl_value,confidence_score,max_phase,full_mwt,alogp,num_ro5_violations,tier1_hit,tier2_hit,tier3_hit,lsd_bonus,bio_bonus,clinical_bonus
78,iCRT-14,CHEMBL3589010,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.3 (True=517.9 True vs True, True); assay confidence=9/9; MOA: True",High,4.5,6.29,9.0,,375.45,4.73,0.0,True,False,False,0.0,1.5,0.0
79,palovarotene,CHEMBL2105648,True,,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,clinical stage: Approved; MOA: True,High,4.5,,,4.0,414.55,6.15,1.0,True,False,False,0.0,0.0,1.5
80,tyrphostin-AG-1296,CHEMBL71191,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.4 (True=388.5 True vs True, True); assay confidence=9/9; MOA: True",High,4.5,6.41,9.0,,266.3,3.31,0.0,True,False,False,0.0,1.5,0.0
81,zolimidine,CHEMBL2105534,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.1 (True=777.2 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",High,4.5,6.11,9.0,2.0,272.33,2.4,0.0,True,False,False,0.0,1.5,0.0
82,VLX600,CHEMBL4788406,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=5.4 (True=3698.0 True vs True, True); assay confidence=9/9; clinical stage: Phase I; MOA: True",High,4.0,5.43,9.0,1.0,317.36,3.05,0.0,True,False,False,0.0,0.5,0.5
83,hydroxypropyl-beta-cyclodextrin,CHEMBL577294,True,5-hydroxytryptamine receptor 2B,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=7.4 (True=40.0 True vs True, True); assay confidence=8/9; clinical stage: Phase III; MOA: True",Medium,6.0,7.4,8.0,3.0,1541.55,,,False,True,True,0.0,2.0,1.0
84,idebenone,CHEMBL252556,True,Cytochrome P450 2C19,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=6.1 (True=800.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Medium,6.0,6.1,8.0,4.0,338.44,3.46,0.0,False,True,True,0.0,1.5,1.5
85,TGR-1202,CHEMBL3948730,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.2 (True=6.2 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Medium,5.5,8.21,9.0,4.0,571.56,6.66,2.0,False,True,False,0.0,2.0,1.5
86,alpelisib,CHEMBL2396661,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.8 (True=1.7 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Medium,5.5,8.77,9.0,4.0,441.48,3.84,0.0,False,True,False,0.0,2.0,1.5
87,copanlisib,CHEMBL3218576,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=10.0 (True=0.11 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Medium,5.5,9.96,9.0,4.0,480.53,0.66,1.0,False,True,False,0.0,2.0,1.5
88,duvelisib,CHEMBL3039502,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=9.6 (True=0.24 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Medium,5.5,9.62,9.0,4.0,416.87,4.48,0.0,False,True,False,0.0,2.0,1.5
89,eliglustat,CHEMBL2110588,True,Ceramide glucosyltransferase,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=7.8 (True=16.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Medium,5.5,7.8,9.0,4.0,404.55,3.43,0.0,False,True,False,0.0,2.0,1.5
90,idelalisib,CHEMBL2216870,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=9.0 (True=1.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Medium,5.5,9.0,9.0,4.0,415.43,3.75,0.0,False,True,False,0.0,2.0,1.5
91,oseltamivir-phosphate,CHEMBL1229,True,Neuraminidase,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=10.2 (True=0.06 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Medium,5.5,10.22,8.0,4.0,312.41,1.29,0.0,False,True,False,0.0,2.0,1.5
92,peramivir,CHEMBL139367,True,Neuraminidase,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=10.2 (True=0.07 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Medium,5.5,10.15,9.0,4.0,328.41,-0.14,1.0,False,True,False,0.0,2.0,1.5
93,sirolimus,CHEMBL413,True,Serine/threonine-protein kinase mTOR,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=10.3 (True=0.05 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Medium,5.5,10.3,9.0,4.0,914.19,6.18,3.0,False,True,False,0.0,2.0,1.5
94,voriconazole,CHEMBL638,True,Cholesterol 24-hydroxylase,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.0 (True=11.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Medium,5.5,7.96,9.0,4.0,349.32,2.18,0.0,False,True,False,0.0,2.0,1.5
95,zanamivir,CHEMBL222813,True,Neuraminidase,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=10.5 (True=0.03 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Medium,5.5,10.52,8.0,4.0,332.31,-3.58,1.0,False,True,False,0.0,2.0,1.5
96,IDO5L,CHEMBL584991,True,"Indoleamine 2,3-dioxygenase 1",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.3 (True=5.5 True vs True, True); assay confidence=9/9; MOA: True",Medium,5.0,8.26,9.0,,271.64,1.69,0.0,False,True,True,0.0,2.0,0.0
97,N6022,CHEMBL1738699,True,Alcohol dehydrogenase class-3,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=7.7 (True=20.0 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Medium,5.0,7.7,9.0,3.0,414.47,3.75,0.0,False,True,False,0.0,2.0,1.0
98,NVP-BEZ235,CHEMBL1879463,True,Serine/threonine-protein kinase mTOR,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=9.3 (True=0.45 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Medium,5.0,9.35,9.0,3.0,469.55,5.89,1.0,False,True,False,0.0,2.0,1.0
99,PF-05212384,CHEMBL592445,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=9.4 (True=0.4 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Medium,5.0,9.4,9.0,3.0,615.74,3.02,1.0,False,True,False,0.0,2.0,1.0
100,buparlisib,CHEMBL2017974,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.5 (True=3.5 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Medium,5.0,8.46,9.0,3.0,410.4,1.81,0.0,False,True,False,0.0,2.0,1.0
101,ezetimibe,CHEMBL1138,True,NPC1-like intracellular cholesterol transporter 1,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=6.7 (True=200.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Medium,5.0,6.7,9.0,4.0,409.43,4.89,0.0,False,True,False,0.0,1.5,1.5
102,fenretinide,CHEMBL7301,True,Sphingolipid delta(4)-desaturase DES1,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=7.0 (True=100.0 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Medium,5.0,7.0,9.0,3.0,391.56,6.86,1.0,False,True,False,0.0,2.0,1.0
103,ginsenoside-RD,CHEMBL473659,True,AMPK alpha2/beta1/gamma1,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=7.8 (True=16.8 True vs True, True); assay confidence=7/9; clinical stage: Phase III; MOA: True",Medium,5.0,7.78,7.0,3.0,947.17,-0.03,3.0,False,True,False,0.0,2.0,1.0
104,miglitol,CHEMBL1561,True,"Sucrase-isomaltase, intestinal",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=7.0 (True=110.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Medium,5.0,6.96,9.0,4.0,207.23,-3.26,0.0,False,True,False,0.0,1.5,1.5
105,taselisib,CHEMBL2387080,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=10.1 (True=0.079 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Medium,5.0,10.1,9.0,3.0,460.54,3.17,0.0,False,True,False,0.0,2.0,1.0
106,zotarolimus,CHEMBL219410,True,Serine/threonine-protein kinase mTOR,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.5 (True=3.3 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Medium,5.0,8.48,9.0,3.0,966.23,6.05,3.0,False,True,False,0.0,2.0,1.0
107,AZD8055,CHEMBL1801204,True,Serine/threonine-protein kinase mTOR,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=9.9 (True=0.13 True vs True, True); assay confidence=9/9; clinical stage: Phase I; MOA: True",Medium,4.5,9.89,9.0,1.0,465.55,2.64,0.0,False,True,False,0.0,2.0,0.5
108,AZD8186,CHEMBL3408248,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.7 (True=2.0 True vs True, True); assay confidence=9/9; clinical stage: Phase I; MOA: True",Medium,4.5,8.7,9.0,1.0,457.48,3.78,0.0,False,True,False,0.0,2.0,0.5
109,AZD8835,CHEMBL3894518,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.2 (True=7.0 True vs True, True); assay confidence=8/9; clinical stage: Phase I; MOA: True",Medium,4.5,8.15,8.0,1.0,469.55,1.77,1.0,False,True,False,0.0,2.0,0.5
110,GDC-0349,CHEMBL2331680,True,Serine/threonine-protein kinase mTOR,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.4 (True=3.8 True vs True, True); assay confidence=9/9; clinical stage: Phase I; MOA: True",Medium,4.5,8.42,9.0,1.0,452.56,2.27,0.0,False,True,False,0.0,2.0,0.5
111,PF-03758309,CHEMBL3128043,True,AMP-activated protein kinase (AMPK) alpha-1/beta-1/gamma-1,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=9.0 (True=1.0 True vs True, True); assay confidence=7/9; clinical stage: Phase I; MOA: True",Medium,4.5,9.0,7.0,1.0,490.64,4.53,0.0,False,True,False,0.0,2.0,0.5
112,SB-2343,CHEMBL3393066,True,Tyrosine-protein kinase JAK3,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.8 (True=1.7 True vs True, True); assay confidence=9/9; clinical stage: Phase I; MOA: True",Medium,4.5,8.77,9.0,1.0,354.42,1.59,0.0,False,True,False,0.0,2.0,0.5
113,TH-302,CHEMBL260046,True,Alpha-enolase,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=6.5 (True=301.0 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Medium,4.5,6.52,9.0,3.0,449.04,1.92,0.0,False,True,False,0.0,1.5,1.0
114,napabucasin,CHEMBL64130,True,Aldehyde dehydrogenase 1A1,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=6.4 (True=425.32 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Medium,4.5,6.37,9.0,3.0,240.21,2.26,0.0,False,True,False,0.0,1.5,1.0
115,A66,CHEMBL3218581,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=7.8 (True=15.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,7.82,9.0,,393.54,3.35,0.0,False,True,False,0.0,2.0,0.0
116,AMG319,CHEMBL4303596,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.8 (True=1.5 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,4.0,8.82,9.0,2.0,385.41,4.28,0.0,False,True,False,0.0,2.0,0.0
117,APY0201,CHEMBL4303292,True,1-phosphatidylinositol 3-phosphate 5-kinase,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.9 (True=1.19 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,8.92,9.0,,413.49,3.38,0.0,False,True,False,0.0,2.0,0.0
118,AS-252424,CHEMBL379156,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=7.5 (True=30.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,7.52,9.0,,305.29,3.12,0.0,False,True,False,0.0,2.0,0.0
119,AZD2014,CHEMBL2336325,True,Serine/threonine-protein kinase mTOR,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=9.8 (True=0.14 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,4.0,9.85,9.0,2.0,462.55,2.5,0.0,False,True,False,0.0,2.0,0.0
120,AZD6482,CHEMBL2165191,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.0 (True=10.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,4.0,8.0,9.0,2.0,408.46,2.71,0.0,False,True,False,0.0,2.0,0.0
121,CC-115,CHEMBL3586573,True,DNA-dependent protein kinase catalytic subunit,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=7.9 (True=13.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,4.0,7.89,9.0,2.0,336.36,1.41,0.0,False,True,False,0.0,2.0,0.0
122,CC-223,CHEMBL3586404,True,Serine/threonine-protein kinase mTOR,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.0 (True=10.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,4.0,8.0,9.0,2.0,397.48,2.48,0.0,False,True,False,0.0,2.0,0.0
123,CH5132799,CHEMBL1684984,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=7.8 (True=14.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,4.0,7.85,9.0,2.0,377.43,-0.33,0.0,False,True,False,0.0,2.0,0.0
124,CI-976,CHEMBL22373,True,Acyl-CoA:cholesterol acyltransferase,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=7.1 (True=73.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,7.14,9.0,,393.57,6.21,1.0,False,True,False,0.0,2.0,0.0
125,CS-917,CHEMBL259771,True,"Fructose-1,6-bisphosphatase 1",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.0 (True=10.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,8.0,9.0,,500.56,3.08,1.0,False,True,False,0.0,2.0,0.0
126,CZC24832,CHEMBL2064571,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=7.6 (True=25.12 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,7.6,9.0,,364.41,1.59,0.0,False,True,False,0.0,2.0,0.0
127,Carmofur,CHEMBL460499,True,Acid ceramidase,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=7.7 (True=20.7 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,4.0,7.68,9.0,2.0,257.26,0.81,0.0,False,True,False,0.0,2.0,0.0
128,ETP-46464,CHEMBL3334621,True,Serine/threonine-protein kinase mTOR,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=9.2 (True=0.6 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,9.22,9.0,,470.53,7.04,1.0,False,True,False,0.0,2.0,0.0
129,GDC-0941,CHEMBL521851,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=10.0 (True=0.1 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,4.0,10.0,9.0,2.0,513.65,2.15,1.0,False,True,False,0.0,2.0,0.0
130,GDC-0980,CHEMBL1922094,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=9.2 (True=0.62 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,4.0,9.21,9.0,2.0,498.61,0.9,1.0,False,True,False,0.0,2.0,0.0
131,GKA-50,CHEMBL205627,True,Hexokinase-4,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=7.5 (True=30.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,7.52,9.0,,464.52,4.46,0.0,False,True,False,0.0,2.0,0.0
132,GSK2126458,CHEMBL1236962,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=10.7 (True=0.019 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,4.0,10.72,9.0,2.0,505.51,4.84,1.0,False,True,False,0.0,2.0,0.0
133,GSK2636771,CHEMBL3188551,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=9.1 (True=0.89 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,4.0,9.05,9.0,2.0,433.43,4.26,0.0,False,True,False,0.0,2.0,0.0
134,GSK2837808A,CHEMBL3335794,True,L-lactate dehydrogenase A chain,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.8 (True=1.7 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,8.77,9.0,,649.63,5.66,2.0,False,True,False,0.0,2.0,0.0
135,KU-0063794,CHEMBL1078983,True,Serine/threonine-protein kinase mTOR,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.6 (True=2.5 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,8.6,9.0,,465.55,2.64,0.0,False,True,False,0.0,2.0,0.0
136,LY3023414,CHEMBL4297181,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.2 (True=6.07 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,4.0,8.22,9.0,2.0,406.49,3.21,0.0,False,True,False,0.0,2.0,0.0
137,MI-14,CHEMBL3914714,True,Phosphatidylinositol 4-kinase beta,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=7.3 (True=54.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,7.27,9.0,,450.95,2.16,0.0,False,True,False,0.0,2.0,0.0
138,MLN0128,CHEMBL3545097,True,Serine/threonine-protein kinase mTOR,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=10.0 (True=0.092 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,4.0,10.04,9.0,2.0,309.33,2.38,0.0,False,True,False,0.0,2.0,0.0
139,MLN1117,CHEMBL3935857,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.0 (True=11.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,4.0,7.96,9.0,2.0,363.38,2.2,0.0,False,True,False,0.0,2.0,0.0
140,OSI-027,CHEMBL2132692,True,Serine/threonine-protein kinase mTOR,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.4 (True=4.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,8.4,9.0,,406.45,3.22,0.0,False,True,False,0.0,2.0,0.0
141,PF-04691502,CHEMBL1234354,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=9.2 (True=0.57 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,4.0,9.24,9.0,2.0,425.49,2.25,0.0,False,True,False,0.0,2.0,0.0
142,PI-103,CHEMBL573339,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.9 (True=1.3 True vs True, True); assay confidence=8/9; MOA: True",Medium,4.0,8.89,8.0,,348.36,2.98,0.0,False,True,False,0.0,2.0,0.0
143,PI3K-IN-2,CHEMBL4084907,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.8 (True=1.5 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,4.0,8.82,9.0,2.0,411.39,1.21,0.0,False,True,False,0.0,2.0,0.0
144,PIK-294,CHEMBL1241767,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.5 (True=3.0 True vs True, True); assay confidence=8/9; MOA: True",Medium,4.0,8.52,8.0,,489.54,4.15,0.0,False,True,False,0.0,2.0,0.0
145,PIK-93,CHEMBL1229535,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.4 (True=4.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,8.4,9.0,,389.89,1.42,0.0,False,True,False,0.0,2.0,0.0
146,SAR-245409,CHEMBL3545366,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.1 (True=9.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,4.0,8.05,9.0,2.0,270.3,1.09,0.0,False,True,False,0.0,2.0,0.0
